"","Country","Gender","Answer","number","Question","Area"
"1","Albania","Female","Every Lesson",773,"ST77Q01","Math Interest"
"2","Albania","Female","Most Lessons",242,"ST77Q01","Math Interest"
"3","Albania","Female","Never or Hardly Ever",109,"ST77Q01","Math Interest"
"4","Albania","Female","Some Lessons",175,"ST77Q01","Math Interest"
"5","Albania","Female",NA,1117,"ST77Q01","Math Interest"
"6","Albania","Male","Every Lesson",785,"ST77Q01","Math Interest"
"7","Albania","Male","Most Lessons",253,"ST77Q01","Math Interest"
"8","Albania","Male","Never or Hardly Ever",119,"ST77Q01","Math Interest"
"9","Albania","Male","Some Lessons",183,"ST77Q01","Math Interest"
"10","Albania","Male",NA,987,"ST77Q01","Math Interest"
"11","Argentina","Female","Every Lesson",1152,"ST77Q01","Math Interest"
"12","Argentina","Female","Most Lessons",470,"ST77Q01","Math Interest"
"13","Argentina","Female","Never or Hardly Ever",64,"ST77Q01","Math Interest"
"14","Argentina","Female","Some Lessons",305,"ST77Q01","Math Interest"
"15","Argentina","Female",NA,1122,"ST77Q01","Math Interest"
"16","Argentina","Male","Every Lesson",1050,"ST77Q01","Math Interest"
"17","Argentina","Male","Most Lessons",444,"ST77Q01","Math Interest"
"18","Argentina","Male","Never or Hardly Ever",84,"ST77Q01","Math Interest"
"19","Argentina","Male","Some Lessons",257,"ST77Q01","Math Interest"
"20","Argentina","Male",NA,960,"ST77Q01","Math Interest"
"21","Australia","Female","Every Lesson",1753,"ST77Q01","Math Interest"
"22","Australia","Female","Most Lessons",1538,"ST77Q01","Math Interest"
"23","Australia","Female","Never or Hardly Ever",280,"ST77Q01","Math Interest"
"24","Australia","Female","Some Lessons",1046,"ST77Q01","Math Interest"
"25","Australia","Female",NA,2458,"ST77Q01","Math Interest"
"26","Australia","Male","Every Lesson",1794,"ST77Q01","Math Interest"
"27","Australia","Male","Most Lessons",1662,"ST77Q01","Math Interest"
"28","Australia","Male","Never or Hardly Ever",304,"ST77Q01","Math Interest"
"29","Australia","Male","Some Lessons",949,"ST77Q01","Math Interest"
"30","Australia","Male",NA,2697,"ST77Q01","Math Interest"
"31","Austria","Female","Every Lesson",244,"ST77Q01","Math Interest"
"32","Austria","Female","Most Lessons",455,"ST77Q01","Math Interest"
"33","Austria","Female","Never or Hardly Ever",312,"ST77Q01","Math Interest"
"34","Austria","Female","Some Lessons",530,"ST77Q01","Math Interest"
"35","Austria","Female",NA,816,"ST77Q01","Math Interest"
"36","Austria","Male","Every Lesson",307,"ST77Q01","Math Interest"
"37","Austria","Male","Most Lessons",553,"ST77Q01","Math Interest"
"38","Austria","Male","Never or Hardly Ever",223,"ST77Q01","Math Interest"
"39","Austria","Male","Some Lessons",477,"ST77Q01","Math Interest"
"40","Austria","Male",NA,838,"ST77Q01","Math Interest"
"41","Belgium","Female","Every Lesson",643,"ST77Q01","Math Interest"
"42","Belgium","Female","Most Lessons",949,"ST77Q01","Math Interest"
"43","Belgium","Female","Never or Hardly Ever",301,"ST77Q01","Math Interest"
"44","Belgium","Female","Some Lessons",845,"ST77Q01","Math Interest"
"45","Belgium","Female",NA,1549,"ST77Q01","Math Interest"
"46","Belgium","Male","Every Lesson",640,"ST77Q01","Math Interest"
"47","Belgium","Male","Most Lessons",984,"ST77Q01","Math Interest"
"48","Belgium","Male","Never or Hardly Ever",339,"ST77Q01","Math Interest"
"49","Belgium","Male","Some Lessons",740,"ST77Q01","Math Interest"
"50","Belgium","Male",NA,1607,"ST77Q01","Math Interest"
"51","Brazil","Female","Every Lesson",3799,"ST77Q01","Math Interest"
"52","Brazil","Female","Most Lessons",1623,"ST77Q01","Math Interest"
"53","Brazil","Female","Never or Hardly Ever",179,"ST77Q01","Math Interest"
"54","Brazil","Female","Some Lessons",920,"ST77Q01","Math Interest"
"55","Brazil","Female",NA,3654,"ST77Q01","Math Interest"
"56","Brazil","Male","Every Lesson",3502,"ST77Q01","Math Interest"
"57","Brazil","Male","Most Lessons",1378,"ST77Q01","Math Interest"
"58","Brazil","Male","Never or Hardly Ever",179,"ST77Q01","Math Interest"
"59","Brazil","Male","Some Lessons",692,"ST77Q01","Math Interest"
"60","Brazil","Male",NA,3278,"ST77Q01","Math Interest"
"61","Bulgaria","Female","Every Lesson",675,"ST77Q01","Math Interest"
"62","Bulgaria","Female","Most Lessons",574,"ST77Q01","Math Interest"
"63","Bulgaria","Female","Never or Hardly Ever",76,"ST77Q01","Math Interest"
