CNT,ST04Q01,meanScore
Albania,Female,394.9091271
Albania,Male,395.6980464
Argentina,Female,388.468089
Argentina,Male,403.1253228
Australia,Female,486.9491632
Australia,Male,498.4731367
Austria,Female,496.5163192
Austria,Male,518.7157711
Belgium,Female,516.6887355
Belgium,Male,523.0320981
Brazil,Female,374.1259814
Brazil,Male,391.9385715
Bulgaria,Female,442.4650938
Bulgaria,Male,441.8659219
Canada,Female,505.0687332
Canada,Male,513.7266715
Chile,Female,430.8613368
Chile,Male,458.6591107
China-Shanghai,Female,608.2037486
China-Shanghai,Male,612.9797983
Chinese Taipei,Female,555.010418
Chinese Taipei,Male,560.2971818
Colombia,Female,372.6325283
Colombia,Male,401.4570915
Connecticut (USA),Female,493.8458867
Connecticut (USA),Male,508.4279025
Costa Rica,Female,394.5218855
Costa Rica,Male,419.3834637
Croatia,Female,463.7698563
Croatia,Male,475.78126
Czech Republic,Female,513.662622
Czech Republic,Male,525.9635357
Denmark,Female,479.1502873
Denmark,Male,493.359271
Estonia,Female,519.660425
Estonia,Male,523.9849662
Finland,Female,507.1397559
Finland,Male,507.9040918
Florida (USA),Female,457.2045178
Florida (USA),Male,472.7761664
France,Female,494.3412894
France,Male,504.9135646
Germany,Female,506.6894405
Germany,Male,520.9552879
Greece,Female,449.8034219
Greece,Male,458.0200009
Hong Kong-China,Female,553.3783833
Hong Kong-China,Male,568.0746676
Hungary,Female,479.5233341
Hungary,Male,491.8962862
Indonesia,Female,374.414599
Indonesia,Male,377.7877815
Ireland,Female,493.2718007
Ireland,Male,508.764011
Israel,Female,463.238905
Israel,Male,476.0394269
Italy,Female,481.9515748
Italy,Male,501.4877018
Japan,Female,525.367581
Japan,Male,545.7690125
Jordan,Female,393.8423313
Jordan,Male,370.7753639
Kazakhstan,Female,431.3382945
Kazakhstan,Male,431.7404816
Korea,Female,544.9382828
Korea,Male,562.313674
Latvia,Female,496.1404418
Latvia,Male,494.7352144
Liechtenstein,Female,525.3215645
Liechtenstein,Male,549.0984387
Lithuania,Female,478.7957471
Lithuania,Male,478.568659
Luxembourg,Female,477.8420219
Luxembourg,Male,502.2521601
Macao-China,Female,536.7923058
Macao-China,Male,539.7630661
Malaysia,Female,426.3911843
Malaysia,Male,418.7551065
Massachusetts (USA),Female,502.1774615
Massachusetts (USA),Male,510.8745776
Mexico,Female,411.9809972
Mexico,Male,425.8209943
Montenegro,Female,405.5685891
Montenegro,Male,407.2269987
Netherlands,Female,513.5991782
Netherlands,Male,522.3346287
New Zealand,Female,494.513848
New Zealand,Male,508.1751663
Norway,Female,487.8583699
Norway,Male,491.56492
Perm(Russian Federation),Female,483.5037109
Perm(Russian Federation),Male,490.6731016
Peru,Female,357.9448229
Peru,Male,378.3563066
Poland,Female,519.0755474
Poland,Male,522.2258686
Portugal,Female,478.3387741
Portugal,Male,490.7460618
Qatar,Female,384.7862498
Qatar,Male,369.2417904
Romania,Female,444.5365346
Romania,Male,447.0930256
Russian Federation,Female,483.6804652
Russian Federation,Male,481.7265392
Serbia,Female,441.8939188
Serbia,Male,453.7079916
Singapore,Female,571.038626
Singapore,Male,565.7209827
Slovenia,Female,483.3888864
Slovenia,Male,485.3990725
Spain,Female,487.99842
Spain,Male,502.7603827
Sweden,Female,479.8079547
Sweden,Male,478.4923656
Switzerland,Female,514.7443825
Switzerland,Male,526.525539
Thailand,Female,447.5229747
Thailand,Male,432.8473347
Tunisia,Female,380.6230659
Tunisia,Male,395.1674309
Turkey,Female,441.7901631
Turkey,Male,455.5700948
United Arab Emirates,Female,434.6237711
United Arab Emirates,Male,428.0756512
United Kingdom,Female,483.251988
United Kingdom,Male,495.9958136
United States of America,Female,476.8796628
United States of America,Male,485.0668727
Uruguay,Female,404.905305
Uruguay,Male,417.8295357
Vietnam,Female,506.1646901
Vietnam,Male,515.6605562
