Country,OECD,Gender,Answer,number,Question,Area
Albania,Non-OECD,Female,Every Lesson,773,ST77Q01,Math Teaching
Albania,Non-OECD,Female,Most Lessons,242,ST77Q01,Math Teaching
Albania,Non-OECD,Female,Never or Hardly Ever,109,ST77Q01,Math Teaching
Albania,Non-OECD,Female,Some Lessons,175,ST77Q01,Math Teaching
Albania,Non-OECD,Female,NA,1117,ST77Q01,Math Teaching
Albania,Non-OECD,Male,Every Lesson,785,ST77Q01,Math Teaching
Albania,Non-OECD,Male,Most Lessons,253,ST77Q01,Math Teaching
Albania,Non-OECD,Male,Never or Hardly Ever,119,ST77Q01,Math Teaching
Albania,Non-OECD,Male,Some Lessons,183,ST77Q01,Math Teaching
Albania,Non-OECD,Male,NA,987,ST77Q01,Math Teaching
Argentina,Non-OECD,Female,Every Lesson,1152,ST77Q01,Math Teaching
Argentina,Non-OECD,Female,Most Lessons,470,ST77Q01,Math Teaching
Argentina,Non-OECD,Female,Never or Hardly Ever,64,ST77Q01,Math Teaching
Argentina,Non-OECD,Female,Some Lessons,305,ST77Q01,Math Teaching
Argentina,Non-OECD,Female,NA,1122,ST77Q01,Math Teaching
Argentina,Non-OECD,Male,Every Lesson,1050,ST77Q01,Math Teaching
Argentina,Non-OECD,Male,Most Lessons,444,ST77Q01,Math Teaching
Argentina,Non-OECD,Male,Never or Hardly Ever,84,ST77Q01,Math Teaching
Argentina,Non-OECD,Male,Some Lessons,257,ST77Q01,Math Teaching
Argentina,Non-OECD,Male,NA,960,ST77Q01,Math Teaching
Australia,OECD,Female,Every Lesson,1753,ST77Q01,Math Teaching
Australia,OECD,Female,Most Lessons,1538,ST77Q01,Math Teaching
Australia,OECD,Female,Never or Hardly Ever,280,ST77Q01,Math Teaching
Australia,OECD,Female,Some Lessons,1046,ST77Q01,Math Teaching
Australia,OECD,Female,NA,2458,ST77Q01,Math Teaching
Australia,OECD,Male,Every Lesson,1794,ST77Q01,Math Teaching
Australia,OECD,Male,Most Lessons,1662,ST77Q01,Math Teaching
Australia,OECD,Male,Never or Hardly Ever,304,ST77Q01,Math Teaching
Australia,OECD,Male,Some Lessons,949,ST77Q01,Math Teaching
Australia,OECD,Male,NA,2697,ST77Q01,Math Teaching
Austria,OECD,Female,Every Lesson,244,ST77Q01,Math Teaching
Austria,OECD,Female,Most Lessons,455,ST77Q01,Math Teaching
Austria,OECD,Female,Never or Hardly Ever,312,ST77Q01,Math Teaching
Austria,OECD,Female,Some Lessons,530,ST77Q01,Math Teaching
Austria,OECD,Female,NA,816,ST77Q01,Math Teaching
Austria,OECD,Male,Every Lesson,307,ST77Q01,Math Teaching
Austria,OECD,Male,Most Lessons,553,ST77Q01,Math Teaching
Austria,OECD,Male,Never or Hardly Ever,223,ST77Q01,Math Teaching
Austria,OECD,Male,Some Lessons,477,ST77Q01,Math Teaching
Austria,OECD,Male,NA,838,ST77Q01,Math Teaching
Belgium,OECD,Female,Every Lesson,643,ST77Q01,Math Teaching
Belgium,OECD,Female,Most Lessons,949,ST77Q01,Math Teaching
Belgium,OECD,Female,Never or Hardly Ever,301,ST77Q01,Math Teaching
Belgium,OECD,Female,Some Lessons,845,ST77Q01,Math Teaching
Belgium,OECD,Female,NA,1549,ST77Q01,Math Teaching
Belgium,OECD,Male,Every Lesson,640,ST77Q01,Math Teaching
Belgium,OECD,Male,Most Lessons,984,ST77Q01,Math Teaching
Belgium,OECD,Male,Never or Hardly Ever,339,ST77Q01,Math Teaching
Belgium,OECD,Male,Some Lessons,740,ST77Q01,Math Teaching
Belgium,OECD,Male,NA,1607,ST77Q01,Math Teaching
Brazil,Non-OECD,Female,Every Lesson,3799,ST77Q01,Math Teaching
Brazil,Non-OECD,Female,Most Lessons,1623,ST77Q01,Math Teaching
Brazil,Non-OECD,Female,Never or Hardly Ever,179,ST77Q01,Math Teaching
Brazil,Non-OECD,Female,Some Lessons,920,ST77Q01,Math Teaching
Brazil,Non-OECD,Female,NA,3654,ST77Q01,Math Teaching
Brazil,Non-OECD,Male,Every Lesson,3502,ST77Q01,Math Teaching
Brazil,Non-OECD,Male,Most Lessons,1378,ST77Q01,Math Teaching
Brazil,Non-OECD,Male,Never or Hardly Ever,179,ST77Q01,Math Teaching
Brazil,Non-OECD,Male,Some Lessons,692,ST77Q01,Math Teaching
Brazil,Non-OECD,Male,NA,3278,ST77Q01,Math Teaching
Bulgaria,Non-OECD,Female,Every Lesson,675,ST77Q01,Math Teaching
Bulgaria,Non-OECD,Female,Most Lessons,574,ST77Q01,Math Teaching
Bulgaria,Non-OECD,Female,Never or Hardly Ever,76,ST77Q01,Math Teaching
Bulgaria,Non-OECD,Female,Some Lessons,355,ST77Q01,Math Teaching
Bulgaria,Non-OECD,Female,NA,898,ST77Q01,Math Teaching
Bulgaria,Non-OECD,Male,Every Lesson,698,ST77Q01,Math Teaching
Bulgaria,Non-OECD,Male,Most Lessons,586,ST77Q01,Math Teaching
Bulgaria,Non-OECD,Male,Never or Hardly Ever,97,ST77Q01,Math Teaching
Bulgaria,Non-OECD,Male,Some Lessons,347,ST77Q01,Math Teaching
Bulgaria,Non-OECD,Male,NA,976,ST77Q01,Math Teaching
Canada,OECD,Female,Every Lesson,2379,ST77Q01,Math Teaching
Canada,OECD,Female,Most Lessons,2584,ST77Q01,Math Teaching
Canada,OECD,Female,Never or Hardly Ever,449,ST77Q01,Math Teaching
Canada,OECD,Female,Some Lessons,1691,ST77Q01,Math Teaching
Canada,OECD,Female,NA,3840,ST77Q01,Math Teaching
Canada,OECD,Male,Every Lesson,2357,ST77Q01,Math Teaching
Canada,OECD,Male,Most Lessons,2476,ST77Q01,Math Teaching
Canada,OECD,Male,Never or Hardly Ever,499,ST77Q01,Math Teaching
Canada,OECD,Male,Some Lessons,1512,ST77Q01,Math Teaching
Canada,OECD,Male,NA,3757,ST77Q01,Math Teaching
Chile,OECD,Female,Every Lesson,1228,ST77Q01,Math Teaching
Chile,OECD,Female,Most Lessons,637,ST77Q01,Math Teaching
Chile,OECD,Female,Never or Hardly Ever,64,ST77Q01,Math Teaching
Chile,OECD,Female,Some Lessons,352,ST77Q01,Math Teaching
Chile,OECD,Female,NA,1231,ST77Q01,Math Teaching
Chile,OECD,Male,Every Lesson,1162,ST77Q01,Math Teaching
Chile,OECD,Male,Most Lessons,645,ST77Q01,Math Teaching
Chile,OECD,Male,Never or Hardly Ever,73,ST77Q01,Math Teaching
Chile,OECD,Male,Some Lessons,342,ST77Q01,Math Teaching
Chile,OECD,Male,NA,1122,ST77Q01,Math Teaching
China-Shanghai,Non-OECD,Female,Every Lesson,737,ST77Q01,Math Teaching
China-Shanghai,Non-OECD,Female,Most Lessons,696,ST77Q01,Math Teaching
China-Shanghai,Non-OECD,Female,Never or Hardly Ever,46,ST77Q01,Math Teaching
